序号,用户类型,峰值负荷,平均负荷MW,用户数,连接节点
1,1,0.0375,0.0375,4,10KV高桥121线007-002-001杆
2,1,0.15,0.15,18,10KV高桥121线007-004杆
3,1,0.075,0.075,9,10KV高桥121线马塘支线017-006杆
4,1,0.15,0.15,18,10KV高桥121线马塘支线017-006杆
5,1,0.17,0.17,21,10KV高桥121线嘉禾大酒店002杆
6,1,0.15,0.15,18,10KV高桥121线马塘支线017-022-001杆
7,1,0.15,0.15,18,10KV高桥121线马塘支线017-025-001杆
8,1,0.475,0.475,59,10KV高桥121线马塘支线017-026杆
9,1,0.475,0.475,59,10KV高桥121线马塘支线017-026杆
10,1,0.475,0.475,59,10KV高桥121线马塘支线017-026杆
11,1,0.475,0.475,59,10KV高桥121线马塘支线017-026杆
12,1,0.6,0.6,75,10KV高桥121线马塘支线028杆
13,1,0.6,0.6,75,10KV高桥121线马塘支线028杆
14,1,0.6,0.6,75,10KV高桥121线马塘支线028杆
15,1,0.6,0.6,75,10KV高桥121线马塘支线028杆
16,1,2.5,2.5,312,10KV高桥121线中国人民解放军73848部队001杆
17,1,0.237,0.237,29,10KV高桥121线中国人民解放军73848部队003杆
18,1,0.12,0.12,15,10KV高桥121线腾冲支线034-014杆
19,1,0.17,0.17,21,10KV高桥121线芜湖市新航港埠有限公司011杆
20,1,0.17,0.17,21,10KV高桥121线芜湖市新航港埠有限公司012杆
21,1,0.17,0.17,21,10KV高桥121线芜湖市新航港埠有限公司013杆
22,1,0.17,0.17,21,10KV高桥121线线科盛环保科技股份有限公司004杆
23,1,0.12,0.12,15,芜湖长江大桥综合经济开发区建设有限公司高安站箱式变
24,1,0.12,0.12,15,芜湖长江大桥综合经济开发区建设有限公司高安站箱式变
25,1,0.12,0.12,15,芜湖长江大桥综合经济开发区建设有限公司高安站箱式变
26,1,0.3,0.3,37,10KV高桥121线053杆
27,1,0.12,0.12,15,新港镇人民政府中心排涝站002杆
28,1,0.17,0.17,21,建华建材安徽有限公司002杆
